팀명,순위,선수명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
키움,10,변상권,0.257,42,114,105,7,27,1,0,3,37,12,0,1
키움,11,김재현,0.249,76,231,205,21,51,10,0,0,61,24,6,4
키움,12,주성원,0.233,20,48,43,7,10,1,0,1,14,5,1,0
키움,13,최주환,0.231,82,336,303,28,70,13,0,7,104,44,0,7
키움,14,이원석,0.220,39,109,91,5,20,4,0,0,24,8,0,2
키움,14,이형종,0.220,31,110,91,19,20,3,0,4,35,17,1,0
키움,16,이재상,0.219,29,77,73,7,16,1,0,1,20,5,1,0
키움,17,장재영,0.213,17,57,47,7,10,2,0,1,15,4,0,0
키움,18,박수종,0.203,44,73,64,11,13,1,0,0,14,3,2,0
키움,19,김동헌,0.200,2,7,5,0,1,0,0,0,1,1,0,0
키움,20,김태진,0.191,41,101,94,9,18,3,0,0,21,3,2,0
키움,21,김시앙,0.143,6,7,7,1,1,0,0,0,1,0,0,0
키움,22,김주형,0.125,19,21,16,0,2,0,0,0,2,1,1,0
키움,22,박성빈,0.125,6,9,8,0,1,0,0,0,1,0,0,0
키움,24,임지열,0.102,22,57,49,4,5,0,0,1,8,5,0,1
키움,25,김웅빈,0.077,6,18,13,1,1,0,0,0,1,1,1,0
키움,26,김병휘,-,5,0,0,0,0,0,0,0,0,0,0,0
키움,26,김선기,-,1,0,0,0,0,0,0,0,0,0,0,0
키움,26,김연주,-,4,0,0,0,0,0,0,0,0,0,0,0
키움,26,김윤하,-,1,0,0,0,0,0,0,0,0,0,0,0
키움,26,김재웅,-,2,0,0,0,0,0,0,0,0,0,0,0
